url,phone_numbers,facebook_links,twitter_x_links,linkedin_links,instagram_links,youtube_links,addresses,error,processing_notes
http://annarborhomesrealtor.com,3137177788,https://www.facebook.com/maurarains1,,,,,"7160 Warwick Drive; <a href=""/home-for-sale/1302-Riversedge-Drive-Saline-MI-48176/20251005141-MIRC"" class=""d-block"" title=""View property at 1302 Riversedge Drive Saline, MI 48176"">; bath 1,406 sf 1302 Riversedge Drive Saline, MI 48176 $270,000 2 bed 2F; 1302 Riversedge Drive; 3324 Bluett Drive; <a href=""/home-for-sale/7160-Warwick-Drive-Ypsilanti-MI-48197/20251003936-MIRC"" class=""d-block"" title=""View property at 7160 Warwick Drive Ypsilanti, MI 48197"">; <a href=""/home-for-sale/3324-Bluett-Drive-Ann-Arbor-MI-48105/20251005181-MIRC"" class=""d-block"" title=""View property at 3324 Bluett Drive Ann Arbor, MI 48105"">; bath 2,449 sf 7160 Warwick Drive Ypsilanti, MI 48197 $389,900 3 bed 2F",,"Discovered potential contact page: http://annarborhomesrealtor.com/vp/ListingServlet; Attempting to merge data from: http://annarborhomesrealtor.com/vp/ListingServlet; Source page http://annarborhomesrealtor.com/vp/ListingServlet had error: Fetch ClientError for http://annarborhomesrealtor.com/vp/ListingServlet: ClientResponseError - 500, message='500', url='https://maurarains.reinhartrealtors.com/vp/ListingServlet'; Merge from http://annarborhomesrealtor.com/vp/ListingServlet complete."
http://astepabovemb.com,,https://www.facebook.com/A-Step-Above-Flooring-810287332403927,https://twitter.com/AStepAboveMB,,https://www.instagram.com/astepaboveflooring,https://www.youtube.com/channel/UCfnhlL-4YRhTqg5w1GQ9Zkw,"721 Sandy Ln Unit F • Myrtle Beach, SC 29575; 721 Sandy Ln. Unit F",,Discovered potential contact page: https://astepabovemb.com/contact-a-step-above-flooring; Attempting to merge data from: https://astepabovemb.com/contact-a-step-above-flooring; Merge from https://astepabovemb.com/contact-a-step-above-flooring complete.
http://buchanan-edwards.online,,,,,,,,,Discovered potential contact page: http://buchanan-edwards.online/contact; Attempting to merge data from: http://buchanan-edwards.online/contact; Merge from http://buchanan-edwards.online/contact complete.
http://busiup.com,,,,,,,,Fetch ClientError for http://busiup.com: ClientConnectorDNSError - Cannot connect to host busiup.com:80 ssl:default [getaddrinfo failed],
http://clockinc.org,,https://www.facebook.com/designs.chasing; https://www.facebook.com/clock.inc.qc,https://twitter.com/clockincLGBT,https://www.linkedin.com/in/clockinc,https://www.instagram.com/clockinclgbt,,,,Discovered potential contact page: http://clockinc.org/contact; Attempting to merge data from: http://clockinc.org/contact; Merge from http://clockinc.org/contact complete.
http://oceancurrent.com,42083787342; 42214258049; 41764051878; 39810174615; 41808298475; 39810173436; 42083861364; 42214266863; 39810175434; 41596074557; 41709993230; 41697411137; 42214266896; 41808282419; 41588821065; 41808282452; 41719745446; 39810175500; 42083787374; 41709993164; 41719745478; 39810175533; 41808267116; 42083777937; 42083778003; 41588991000; 41763986735; 39810174386; 41697411170; 42083777970; 41697406714; 41588821000; 41596074655; 39810176352; 41719610933; 39810174419; 41719671029; 42085727994; 42083523231; 39810174517; 39810173567; 41697908588; 39810173632; 41719610900; 42083861430; 42111291130; 42083787276; 41697413464; 42214258081; 42214319358; 41719745413; 41808308175; 42083861397; 41588990935; 41588821033; 41764051910; 39810176417; 41719668375; 41763974938; 41588991033; 41808267182; 42111291162; 42214319423; 41764048797; 41808308142; 42111333105; 39810176614; 41719745380; 41709993197; 42083787309; 41764048830; 41753452773; 41719668474; 42083638837; 41719758422; 42083523330; 42083523297; 42083851370; 41588820967; 42214319325; 39810173599; 39810174550; 42214348456; 41808308240; 41808298442; 41869736509; 41719750066; 41719750099; 41719668408; 42111291064; 39810175467; 41719758520; 41763974873; 41753452871; 41719758487; 42083851305; 42111333171; 41808282517; 41697411236; 42214257983; 42085728092; 39810174124; 41697411203; 39810173403; 39810176581; 42083851337; 41763986636; 41697413529; 41808298508; 42214319390; 41719670997; 41697406812; 41808267215; 41697413562; 41869736411; 41596074590; 39810176647; 41719670931; 39810174582; 42214348521; 39810174353; 42111333204; 42214348554; 39810176680; 41719670964; 41719750164; 41808308207; 42083638935; 42083851403; 41719758454; 41697406746; 41763986702; 41869736444; 41808267149; 39810174091; 39810173370; 41763974971; 41697908555; 41764048765; 42214348488; 41869736476; 39810176385; 42214258016; 41764051845; 41763974906; 42083523264; 42083778035; 41808298541; 39810174058; 41753452806; 42085728026; 41753452839; 41764048732; 39810173534; 39810174025; 42083861332; 41719750131; 42214266929; 42214266962; 42111291097; 42083638902; 41719610867; 41709993263; 41753452904; 41588990967; 39810174451; 41764051943; 42085728059; 41697406779; 39810176319; 41719668441; 42111333138; 39810173468; 42083638870; 41808282484; 41697908523; 41719610835; 41697413497; 41596074623; 41763986669; 41697908621,https://www.facebook.com/oceancurrent,,,https://www.instagram.com/oceancurrent,,,,Discovered potential contact page: http://oceancurrent.com/pages/about-us; Attempting to merge data from: http://oceancurrent.com/pages/about-us; Merge from http://oceancurrent.com/pages/about-us complete.
http://arnoldprint.com,7173925491,,,,,,"53 Eastman Ave,; 53 Eastman Ave.",,Discovered potential contact page: http://arnoldprint.com/contact; Attempting to merge data from: http://arnoldprint.com/contact; Merge from http://arnoldprint.com/contact complete.
http://deepdivecounseling.net,,,,,,,,,Discovered potential contact page: http://deepdivecounseling.net/contact; Attempting to merge data from: http://deepdivecounseling.net/contact; Merge from http://deepdivecounseling.net/contact complete.
http://forcht-law.com,,,,,,,,,"Discovered potential contact page: http://forcht-law.com/contact; Attempting to merge data from: http://forcht-law.com/contact; Source page http://forcht-law.com/contact had error: Fetch ClientError for http://forcht-law.com/contact: ClientResponseError - 404, message='Not Found', url='https://forcht-law.com/contact'; Merge from http://forcht-law.com/contact complete."
http://graciejoplin.com,,https://www.facebook.com/shiloh.burchfield; https://www.facebook.com/profile.php; https://www.facebook.com/rob.gaul.3; https://www.facebook.com/zach.lawson.54; https://www.facebook.com/Ghettotacos417; https://www.facebook.com/graciejoplin; https://www.facebook.com/jason.rios.16547008,,,,,,,"Discovered potential contact page: http://graciejoplin.com/contact; Attempting to merge data from: http://graciejoplin.com/contact; Source page http://graciejoplin.com/contact had error: Fetch ClientError for http://graciejoplin.com/contact: ClientResponseError - 404, message='Not Found', url='https://graciejoplin.com/contact'; Merge from http://graciejoplin.com/contact complete."
http://itpc-usa.com,,https://www.facebook.com/wix,https://www.twitter.com/wix,,https://www.instagram.com/wix,,,,"Discovered potential contact page: http://itpc-usa.com/contact; Attempting to merge data from: http://itpc-usa.com/contact; Source page http://itpc-usa.com/contact had error: Fetch ClientError for http://itpc-usa.com/contact: ClientResponseError - 404, message='Not Found', url='https://www.itpc-usa.com/contact'; Merge from http://itpc-usa.com/contact complete."
http://scienceeducators.org,,,,,,,,Fetch ClientError for http://scienceeducators.org: ClientConnectorDNSError - Cannot connect to host scienceeducators.org:80 ssl:default [getaddrinfo failed],
http://directdrivelogistics.com,53227633,,,,,,"Copyright © 2025 Direct Drive Logistics, Inc.",,Discovered potential contact page: http://directdrivelogistics.com/logistics/ContactFreightLogisticsBroker; Attempting to merge data from: http://directdrivelogistics.com/logistics/ContactFreightLogisticsBroker; Merge from http://directdrivelogistics.com/logistics/ContactFreightLogisticsBroker complete.
